instruction,imm_type,rs1_tag,rs2_tag,a_ctl,b_ctl,dnpc_ctl,alu_ctl,mul_ctl,exe_out_ctl,mem_ctl,wb_ctl,reg_w_en,jump_op,csr_op,ebreak_op,invalid_op
srliw,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_SRLW,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
sraiw,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_SRAW,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
addw,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_SRC2,DNPC_CTL_DEFAULT,ALU_CTL_ADDW,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
subw,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_SRC2,DNPC_CTL_DEFAULT,ALU_CTL_SUBW,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
sllw,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_SRC2,DNPC_CTL_DEFAULT,ALU_CTL_SLLW,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
srlw,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_SRC2,DNPC_CTL_DEFAULT,ALU_CTL_SRLW,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
sraw,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_SRC2,DNPC_CTL_DEFAULT,ALU_CTL_SRAW,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
jal,IMM_TYPE_J,RS1_INVALID,RS2_INVALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_PC,ALU_CTL_DEFAULT,MUL_CTL_DEFAULT,EXE_OUT_DEFAULT,MEM_CTL_DEFAULT,WB_CTL_SNPC,REG_W_ENABLE,JUMP_OP_JAL,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
jalr,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_SRC,ALU_CTL_DEFAULT,MUL_CTL_DEFAULT,EXE_OUT_DEFAULT,MEM_CTL_DEFAULT,WB_CTL_SNPC,REG_W_ENABLE,JUMP_OP_JAL,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
beq,IMM_TYPE_B,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_SRC2,DNPC_CTL_PC,ALU_CTL_EQU,MUL_CTL_DEFAULT,EXE_OUT_DEFAULT,MEM_CTL_DEFAULT,WB_CTL_DEFAULT,REG_W_DISABLE,JUMP_OP_BRANCH,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
bne,IMM_TYPE_B,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_SRC2,DNPC_CTL_PC,ALU_CTL_NEQ,MUL_CTL_DEFAULT,EXE_OUT_DEFAULT,MEM_CTL_DEFAULT,WB_CTL_DEFAULT,REG_W_DISABLE,JUMP_OP_BRANCH,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
blt,IMM_TYPE_B,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_SRC2,DNPC_CTL_PC,ALU_CTL_SLT,MUL_CTL_DEFAULT,EXE_OUT_DEFAULT,MEM_CTL_DEFAULT,WB_CTL_DEFAULT,REG_W_DISABLE,JUMP_OP_BRANCH,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
bge,IMM_TYPE_B,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_SRC2,DNPC_CTL_PC,ALU_CTL_SGE,MUL_CTL_DEFAULT,EXE_OUT_DEFAULT,MEM_CTL_DEFAULT,WB_CTL_DEFAULT,REG_W_DISABLE,JUMP_OP_BRANCH,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
bltu,IMM_TYPE_B,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_SRC2,DNPC_CTL_PC,ALU_CTL_SLTU,MUL_CTL_DEFAULT,EXE_OUT_DEFAULT,MEM_CTL_DEFAULT,WB_CTL_DEFAULT,REG_W_DISABLE,JUMP_OP_BRANCH,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
bgeu,IMM_TYPE_B,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_SRC2,DNPC_CTL_PC,ALU_CTL_SGEU,MUL_CTL_DEFAULT,EXE_OUT_DEFAULT,MEM_CTL_DEFAULT,WB_CTL_DEFAULT,REG_W_DISABLE,JUMP_OP_BRANCH,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
lb,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_ADD,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_LB,WB_CTL_MEM,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
lh,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_ADD,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_LH,WB_CTL_MEM,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
lw,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_ADD,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_LW,WB_CTL_MEM,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
ld,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_ADD,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_LD,WB_CTL_MEM,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
lbu,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_ADD,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_LBU,WB_CTL_MEM,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
lhu,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_ADD,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_LHU,WB_CTL_MEM,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
lwu,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_ADD,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_LWU,WB_CTL_MEM,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
sb,IMM_TYPE_S,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_ADD,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_SB,WB_CTL_DEFAULT,REG_W_DISABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
sh,IMM_TYPE_S,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_ADD,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_SH,WB_CTL_DEFAULT,REG_W_DISABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
sw,IMM_TYPE_S,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_ADD,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_SW,WB_CTL_DEFAULT,REG_W_DISABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
sd,IMM_TYPE_S,RS1_VALID,RS2_VALID,A_CTL_SRC1,B_CTL_IMM,DNPC_CTL_DEFAULT,ALU_CTL_ADD,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_SD,WB_CTL_DEFAULT,REG_W_DISABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
mul,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_DEFAULT,ALU_CTL_DEFAULT,MUL_CTL_MUL,EXE_OUT_MUL,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
mulh,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_DEFAULT,ALU_CTL_DEFAULT,MUL_CTL_MULH,EXE_OUT_MUL,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
mulhsu,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_DEFAULT,ALU_CTL_DEFAULT,MUL_CTL_MULHSU,EXE_OUT_MUL,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
mulhu,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_DEFAULT,ALU_CTL_DEFAULT,MUL_CTL_MULHU,EXE_OUT_MUL,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
mulw,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_DEFAULT,ALU_CTL_DEFAULT,MUL_CTL_MULW,EXE_OUT_MUL,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
div,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_DEFAULT,ALU_CTL_DEFAULT,MUL_CTL_DIV,EXE_OUT_MUL,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
divu,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_DEFAULT,ALU_CTL_DEFAULT,MUL_CTL_DIVU,EXE_OUT_MUL,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
rem,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_DEFAULT,ALU_CTL_DEFAULT,MUL_CTL_REM,EXE_OUT_MUL,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
remu,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_DEFAULT,ALU_CTL_DEFAULT,MUL_CTL_REMU,EXE_OUT_MUL,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
divw,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_DEFAULT,ALU_CTL_DEFAULT,MUL_CTL_DIVW,EXE_OUT_MUL,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
divuw,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_DEFAULT,ALU_CTL_DEFAULT,MUL_CTL_DIVUW,EXE_OUT_MUL,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
remw,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_DEFAULT,ALU_CTL_DEFAULT,MUL_CTL_REMW,EXE_OUT_MUL,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
remuw,IMM_TYPE_R,RS1_VALID,RS2_VALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_DEFAULT,ALU_CTL_DEFAULT,MUL_CTL_REMUW,EXE_OUT_MUL,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_NO,INVALID_OP_NO
csrrw,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_DEFAULT,ALU_CTL_MOVA,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_YES,EBREAK_OP_NO,INVALID_OP_NO
csrrs,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_DEFAULT,ALU_CTL_MOVA,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_YES,EBREAK_OP_NO,INVALID_OP_NO
csrrc,IMM_TYPE_I,RS1_VALID,RS2_INVALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_DEFAULT,ALU_CTL_MOVA,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_YES,EBREAK_OP_NO,INVALID_OP_NO
csrrwi,IMM_TYPE_I,RS1_INVALID,RS2_INVALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_DEFAULT,ALU_CTL_MOVA,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_YES,EBREAK_OP_NO,INVALID_OP_NO
csrrsi,IMM_TYPE_I,RS1_INVALID,RS2_INVALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_DEFAULT,ALU_CTL_MOVA,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_YES,EBREAK_OP_NO,INVALID_OP_NO
csrrci,IMM_TYPE_I,RS1_INVALID,RS2_INVALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_DEFAULT,ALU_CTL_MOVA,MUL_CTL_DEFAULT,EXE_OUT_ALU,MEM_CTL_DEFAULT,WB_CTL_ALU,REG_W_ENABLE,JUMP_OP_DEFAULT,CSR_OP_YES,EBREAK_OP_NO,INVALID_OP_NO
ebreak,IMM_TYPE_DEFAULT,RS1_INVALID,RS2_INVALID,A_CTL_DEFAULT,B_CTL_DEFAULT,DNPC_CTL_DEFAULT,ALU_CTL_DEFAULT,MUL_CTL_DEFAULT,EXE_OUT_DEFAULT,MEM_CTL_DEFAULT,WB_CTL_DEFAULT,REG_W_DISABLE,JUMP_OP_DEFAULT,CSR_OP_NO,EBREAK_OP_YES,INVALID_OP_NO
